trip_id,car_name,vehicle_type,fuel_type,trip_category,distance_km,trip_duration_hr,avg_speed_kmph,base_mileage_kmpl,actual_mileage_kmpl,mileage_delta_kmpl,fuel_consumed_L,fuel_cost_usd,cost_per_km_usd,co2_emissions_kg,co2_per_km,relative_efficiency,efficiency_band
69,Hyundai Verna,Sedan,Petrol,Medium (50–200 km),172.66,1.73,99.95,17.28,17.53,0.25,9.85,12.46,0.0722,22.754,0.1318,0.6917,Average
70,Tata Tiago,Hatchback,Petrol,Medium (50–200 km),160.41,2.41,66.58,16.17,16.87,0.7,9.51,12.03,0.075,21.968,0.1369,0.6162,Average
71,Hyundai Creta,SUV,Hybrid,Long (200–400 km),333.62,6.02,55.38,16.33,17.02,0.69,19.6,23.61,0.0708,39.2,0.1175,0.7856,Good
72,Mercedes C-Class,Luxury,Hybrid,Very Long (>400 km),458.21,6.82,67.18,15.04,15.17,0.13,30.2,36.39,0.0794,60.4,0.1318,0.8072,Good
73,Skoda Rapid,Sedan,Petrol,Very Long (>400 km),495.25,7.63,64.95,16.53,17.08,0.55,29.0,36.69,0.0741,66.99,0.1353,0.6739,Average
74,Hyundai Creta,SUV,Petrol,Very Long (>400 km),469.03,8.55,54.86,10.44,10.72,0.28,43.76,55.36,0.118,101.086,0.2155,0.4947,Poor
75,Toyota Innova,MUV,Diesel,Medium (50–200 km),135.19,1.4,96.81,13.31,13.94,0.63,9.7,11.1,0.0821,25.996,0.1923,0.7312,Average
76,Audi A6,Luxury,Petrol,Medium (50–200 km),138.4,1.78,77.68,11.65,11.29,-0.36,12.26,15.51,0.1121,28.321,0.2046,0.6005,Average
77,Toyota Yaris,Sedan,Diesel,Medium (50–200 km),75.1,0.65,115.32,15.89,15.02,-0.87,5.0,5.72,0.0762,13.4,0.1784,0.5927,Average
78,Kia Seltos,SUV,Petrol,Long (200–400 km),364.22,3.36,108.49,13.32,13.71,0.39,26.57,33.61,0.0923,61.377,0.1685,0.6327,Average
79,Toyota Innova,MUV,Petrol,Long (200–400 km),231.23,2.35,98.38,12.18,11.19,-0.99,20.66,26.14,0.113,47.725,0.2064,0.5872,Average
80,Jaguar XF,Luxury,Petrol,Medium (50–200 km),77.55,0.78,98.79,11.45,11.39,-0.06,6.81,8.62,0.1112,15.731,0.2028,0.6058,Average
81,Jaguar XF,Luxury,Hybrid,Long (200–400 km),372.26,4.11,90.58,17.7,17.41,-0.29,21.38,25.76,0.0692,42.76,0.1149,0.9263,Excellent
82,Maruti Ciaz,Sedan,Petrol,Medium (50–200 km),185.1,1.88,98.64,14.78,14.33,-0.45,12.92,16.34,0.0883,29.845,0.1612,0.5654,Average
83,Maruti Ciaz,Sedan,Petrol,Long (200–400 km),217.21,2.56,84.85,17.1,15.72,-1.38,13.82,17.48,0.0805,31.924,0.147,0.6202,Average
84,Kia Seltos,SUV,Petrol,Long (200–400 km),296.89,3.85,77.12,13.9,15.05,1.15,19.73,24.96,0.0841,45.576,0.1535,0.6945,Average
85,BMW 5 Series,Luxury,Diesel,Very Long (>400 km),449.94,4.38,102.68,10.86,10.44,-0.42,43.09,49.32,0.1096,115.481,0.2567,0.5555,Average
86,MG Hector,SUV,Diesel,Medium (50–200 km),69.57,1.29,53.8,15.45,15.26,-0.19,4.56,5.22,0.075,12.221,0.1757,0.7041,Average
87,Mercedes C-Class,Luxury,Petrol,Very Long (>400 km),400.91,9.42,42.54,11.27,10.67,-0.6,37.56,47.52,0.1185,86.764,0.2164,0.5678,Average
88,Honda City,Sedan,Hybrid,Long (200–400 km),352.17,4.6,76.63,18.81,19.9,1.09,17.7,21.33,0.0606,35.4,0.1005,0.7852,Good
89,Hyundai i20,Hatchback,Petrol,Medium (50–200 km),192.42,1.82,105.88,15.69,14.74,-0.95,13.05,16.51,0.0858,30.146,0.1567,0.5387,Poor
90,Hyundai Creta,SUV,Petrol,Medium (50–200 km),177.53,3.13,56.72,13.97,15.24,1.27,11.65,14.74,0.083,26.912,0.1516,0.7033,Average
91,Tata Tiago,Hatchback,Diesel,Medium (50–200 km),126.19,1.79,70.48,21.65,20.39,-1.26,6.19,7.08,0.0561,16.589,0.1315,0.7448,Average
92,Lexus ES,Luxury,Hybrid,Medium (50–200 km),118.04,2.86,41.34,16.69,16.1,-0.59,7.33,8.83,0.0748,14.66,0.1242,0.8567,Good
93,Hyundai Verna,Sedan,Petrol,Short (<50 km),35.68,0.46,78.05,15.1,15.38,0.28,2.32,2.93,0.0821,5.359,0.1502,0.6069,Average
94,Hyundai Creta,SUV,Diesel,Very Long (>400 km),465.49,4.33,107.59,15.88,16.81,0.93,27.69,31.69,0.0681,74.209,0.1594,0.7759,Good
95,Mahindra Marazzo,MUV,Petrol,Short (<50 km),41.14,0.43,95.47,13.05,12.66,-0.39,3.25,4.11,0.0999,7.508,0.1825,0.6641,Average
96,Maruti Ertiga,MUV,Diesel,Very Long (>400 km),420.15,3.99,105.17,16.41,16.05,-0.36,26.18,29.97,0.0713,70.162,0.167,0.842,Good
97,Maruti Swift,Hatchback,Hybrid,Long (200–400 km),233.18,2.33,100.0,21.28,21.14,-0.14,11.03,13.29,0.057,22.06,0.0946,0.7724,Good
98,Jaguar XF,Luxury,Hybrid,Long (200–400 km),287.04,6.78,42.33,14.37,13.29,-1.08,21.6,26.02,0.0906,43.2,0.1505,0.7069,Average
99,Kia Carens,MUV,Petrol,Long (200–400 km),360.86,7.57,47.66,11.88,12.33,0.45,29.27,37.03,0.1026,67.614,0.1874,0.6468,Average
100,Toyota Fortuner,SUV,Hybrid,Very Long (>400 km),421.52,9.58,44.02,19.79,19.93,0.14,21.15,25.48,0.0604,42.3,0.1004,0.9198,Excellent
101,Maruti Ciaz,Sedan,Petrol,Medium (50–200 km),63.86,0.98,65.19,16.15,17.79,1.64,3.59,4.54,0.0711,8.293,0.1299,0.702,Average
102,Mercedes C-Class,Luxury,Petrol,Very Long (>400 km),415.75,8.04,51.71,9.59,9.0,-0.59,46.22,58.47,0.1406,106.768,0.2568,0.4785,Poor
103,Skoda Rapid,Sedan,Petrol,Long (200–400 km),388.7,4.86,80.04,15.16,15.36,0.2,25.31,32.02,0.0824,58.466,0.1504,0.606,Average
104,Skoda Rapid,Sedan,Petrol,Medium (50–200 km),123.3,1.11,110.75,14.54,14.37,-0.17,8.58,10.85,0.088,19.82,0.1607,0.5671,Average
105,Skoda Rapid,Sedan,Hybrid,Medium (50–200 km),175.69,2.99,58.71,22.99,24.4,1.41,7.2,8.67,0.0493,14.4,0.082,0.9629,Excellent
106,Tata Harrier,SUV,Diesel,Long (200–400 km),238.11,2.32,102.42,12.53,11.39,-1.14,20.9,23.92,0.1005,56.012,0.2352,0.5258,Poor
107,Maruti Ertiga,MUV,Petrol,Medium (50–200 km),77.79,0.68,115.08,12.84,13.72,0.88,5.67,7.17,0.0922,13.098,0.1684,0.7198,Average
108,MG Hector,SUV,Petrol,Long (200–400 km),282.3,3.85,73.38,11.11,11.92,0.81,23.68,29.96,0.1061,54.701,0.1938,0.5502,Average
109,Mercedes C-Class,Luxury,Hybrid,Medium (50–200 km),60.38,0.85,71.45,16.54,17.97,1.43,3.36,4.05,0.0671,6.72,0.1113,0.956,Excellent
110,Maruti Alto,Hatchback,Petrol,Medium (50–200 km),181.1,3.92,46.14,18.31,19.33,1.02,9.37,11.85,0.0654,21.645,0.1195,0.7061,Average
111,BMW 5 Series,Luxury,Petrol,Medium (50–200 km),131.11,1.2,109.47,11.79,10.86,-0.93,12.07,15.27,0.1165,27.882,0.2127,0.5779,Average
112,Maruti Ciaz,Sedan,Diesel,Long (200–400 km),221.6,5.43,40.77,15.25,14.23,-1.02,15.57,17.82,0.0804,41.728,0.1883,0.5617,Average
113,Hyundai Creta,SUV,Diesel,Long (200–400 km),397.94,6.17,64.51,15.79,17.38,1.59,22.89,26.2,0.0658,61.345,0.1542,0.8023,Good
114,Maruti Ertiga,MUV,Diesel,Short (<50 km),49.71,0.6,82.83,14.99,14.79,-0.2,3.36,3.85,0.0774,9.005,0.1812,0.7762,Good
115,Mahindra Marazzo,MUV,Diesel,Very Long (>400 km),406.71,7.02,57.95,15.05,15.92,0.87,25.54,29.23,0.0719,68.447,0.1683,0.8354,Good
116,Jaguar XF,Luxury,Petrol,Long (200–400 km),236.03,3.52,67.0,8.36,7.78,-0.58,30.33,38.37,0.1626,70.062,0.2968,0.414,Poor
117,Skoda Rapid,Sedan,Hybrid,Long (200–400 km),384.36,3.91,98.2,18.36,18.42,0.06,20.87,25.14,0.0654,41.74,0.1086,0.7268,Average
118,Kia Carens,MUV,Petrol,Very Long (>400 km),406.61,4.03,100.81,11.87,12.75,0.88,31.9,40.36,0.0993,73.689,0.1812,0.6687,Average
119,Renault Triber,MUV,Petrol,Long (200–400 km),215.7,4.31,50.05,12.07,12.92,0.85,16.69,21.11,0.0979,38.554,0.1787,0.678,Average
120,Maruti Ertiga,MUV,Diesel,Medium (50–200 km),112.85,1.24,91.32,14.96,15.72,0.76,7.18,8.22,0.0728,19.242,0.1705,0.8246,Good
121,Toyota Innova,MUV,Diesel,Medium (50–200 km),130.4,1.79,72.9,14.56,15.36,0.8,8.49,9.72,0.0745,22.753,0.1745,0.8058,Good
122,Hyundai i20,Hatchback,Petrol,Long (200–400 km),210.56,4.01,52.51,17.73,16.93,-0.8,12.44,15.74,0.0748,28.736,0.1365,0.6184,Average
123,Lexus ES,Luxury,Diesel,Very Long (>400 km),495.08,11.68,42.4,12.69,12.83,0.14,38.6,44.18,0.0892,103.448,0.209,0.6823,Average
124,Mahindra Marazzo,MUV,Petrol,Long (200–400 km),297.35,2.72,109.29,11.68,12.19,0.51,24.39,30.85,0.1037,56.341,0.1895,0.6396,Average
125,Mercedes C-Class,Luxury,Diesel,Long (200–400 km),225.19,3.39,66.42,11.74,11.59,-0.15,19.43,22.24,0.0988,52.072,0.2312,0.6166,Average
126,BMW 5 Series,Luxury,Hybrid,Medium (50–200 km),82.0,1.71,47.96,16.13,15.8,-0.33,5.19,6.25,0.0762,10.38,0.1266,0.8405,Good
127,Maruti Ciaz,Sedan,Hybrid,Very Long (>400 km),496.14,7.81,63.53,21.3,22.6,1.3,21.95,26.45,0.0533,43.9,0.0885,0.892,Good
128,Skoda Rapid,Sedan,Hybrid,Medium (50–200 km),69.36,1.39,50.08,19.77,18.06,-1.71,3.84,4.63,0.0668,7.68,0.1107,0.7128,Average
129,MG Hector,SUV,Hybrid,Medium (50–200 km),92.85,0.84,111.17,19.23,17.65,-1.58,5.26,6.34,0.0683,10.52,0.1133,0.8147,Good
130,Maruti Alto,Hatchback,Diesel,Medium (50–200 km),152.44,1.5,101.49,20.3,21.47,1.17,7.1,8.13,0.0533,19.028,0.1248,0.7844,Good
131,Kia Carens,MUV,Diesel,Long (200–400 km),337.35,3.66,92.18,14.17,14.91,0.74,22.63,25.9,0.0768,60.648,0.1798,0.7821,Good
132,Mercedes C-Class,Luxury,Diesel,Short (<50 km),41.6,0.42,98.73,10.49,10.83,0.34,3.84,4.4,0.1058,10.291,0.2474,0.5763,Average
133,Honda City,Sedan,Petrol,Long (200–400 km),243.36,5.92,41.09,17.64,19.25,1.61,12.64,15.99,0.0657,29.198,0.12,0.7598,Good
134,Honda City,Sedan,Hybrid,Long (200–400 km),342.97,3.5,97.94,22.42,22.46,0.04,15.27,18.4,0.0536,30.54,0.089,0.8863,Good
135,Hyundai Verna,Sedan,Hybrid,Short (<50 km),44.2,0.4,111.23,23.64,23.26,-0.38,1.9,2.29,0.0518,3.8,0.086,0.918,Excellent
136,Mercedes C-Class,Luxury,Hybrid,Long (200–400 km),282.41,2.63,107.19,15.0,16.21,1.21,17.42,20.99,0.0743,34.84,0.1234,0.8624,Good
137,Skoda Rapid,Sedan,Diesel,Very Long (>400 km),495.9,5.05,98.15,17.03,16.12,-0.91,30.77,35.22,0.071,82.464,0.1663,0.636,Average
138,Lexus ES,Luxury,Petrol,Long (200–400 km),346.22,2.99,115.67,9.23,9.63,0.4,35.97,45.5,0.1314,83.091,0.24,0.512,Poor
139,Lexus ES,Luxury,Hybrid,Long (200–400 km),337.68,3.72,90.7,12.49,12.26,-0.23,27.54,33.18,0.0983,55.08,0.1631,0.6523,Average
140,Kia Carens,MUV,Diesel,Medium (50–200 km),184.51,3.63,50.77,17.51,19.06,1.55,9.68,11.08,0.0601,25.942,0.1406,1.0,Excellent
141,Hyundai i20,Hatchback,Diesel,Medium (50–200 km),172.77,1.55,111.54,21.67,21.07,-0.6,8.2,9.39,0.0543,21.976,0.1272,0.7698,Good
142,Hyundai Creta,SUV,Diesel,Short (<50 km),26.54,0.4,65.82,12.47,12.34,-0.13,2.15,2.46,0.0927,5.762,0.2171,0.5697,Average
143,Lexus ES,Luxury,Hybrid,Long (200–400 km),266.94,5.7,46.8,16.94,16.78,-0.16,15.91,19.17,0.0718,31.82,0.1192,0.8926,Good
144,Maruti Ciaz,Sedan,Petrol,Medium (50–200 km),135.34,2.84,47.6,17.94,18.64,0.7,7.26,9.18,0.0678,16.771,0.1239,0.7357,Average
145,Tata Harrier,SUV,Hybrid,Long (200–400 km),275.3,2.51,109.89,19.94,18.14,-1.8,15.18,18.29,0.0664,30.36,0.1103,0.837,Good
146,Toyota Fortuner,SUV,Petrol,Medium (50–200 km),166.76,2.31,72.22,11.6,11.21,-0.39,14.87,18.81,0.1128,34.35,0.206,0.5176,Poor
147,Jaguar XF,Luxury,Hybrid,Medium (50–200 km),81.6,0.95,86.28,14.19,13.67,-0.52,5.97,7.19,0.0881,11.94,0.1463,0.7271,Average
148,Audi A6,Luxury,Petrol,Long (200–400 km),259.98,2.64,98.42,11.22,10.96,-0.26,23.73,30.02,0.1155,54.816,0.2108,0.5828,Average
149,Jaguar XF,Luxury,Petrol,Long (200–400 km),232.66,2.6,89.37,8.1,7.57,-0.53,30.72,38.86,0.167,70.963,0.305,0.4029,Poor
150,Tata Harrier,SUV,Diesel,Long (200–400 km),249.68,2.87,86.85,14.09,13.98,-0.11,17.86,20.44,0.0819,47.865,0.1917,0.6452,Average
151,Mahindra Marazzo,MUV,Diesel,Long (200–400 km),301.08,3.6,83.55,13.29,14.03,0.74,21.46,24.56,0.0816,57.513,0.191,0.7361,Average
152,Hyundai Verna,Sedan,Diesel,Long (200–400 km),259.1,2.72,95.14,19.1,20.1,1.0,12.89,14.75,0.0569,34.545,0.1333,0.7932,Good
153,Tata Tiago,Hatchback,Diesel,Very Long (>400 km),408.76,4.72,86.65,18.62,17.8,-0.82,22.97,26.29,0.0643,61.56,0.1506,0.6501,Average
154,Hyundai Creta,SUV,Hybrid,Long (200–400 km),356.21,3.5,101.64,17.33,17.92,0.59,19.88,23.95,0.0672,39.76,0.1116,0.827,Good
155,Toyota Fortuner,SUV,Petrol,Medium (50–200 km),171.57,3.85,44.55,12.65,12.01,-0.64,14.29,18.08,0.1054,33.01,0.1924,0.5541,Average
156,Maruti Swift,Hatchback,Diesel,Long (200–400 km),344.53,5.34,64.58,20.51,21.06,0.55,16.36,18.73,0.0544,43.845,0.1273,0.7694,Good
157,Hyundai i20,Hatchback,Hybrid,Long (200–400 km),300.58,2.56,117.55,23.95,24.56,0.61,12.24,14.75,0.0491,24.48,0.0814,0.8972,Good
158,Audi A6,Luxury,Hybrid,Long (200–400 km),335.89,2.8,119.82,12.46,12.58,0.12,26.7,32.17,0.0958,53.4,0.159,0.6692,Average
159,Toyota Innova,MUV,Petrol,Long (200–400 km),219.12,3.09,70.98,14.49,14.05,-0.44,15.6,19.73,0.09,36.036,0.1645,0.7369,Average
160,Toyota Innova,MUV,Diesel,Very Long (>400 km),471.44,5.13,91.9,13.31,12.2,-1.11,38.65,44.24,0.0938,103.582,0.2197,0.6399,Average
161,Honda Brio,Hatchback,Diesel,Medium (50–200 km),73.38,0.67,109.45,19.91,20.73,0.82,3.54,4.05,0.0552,9.487,0.1293,0.7573,Good
162,Renault Triber,MUV,Petrol,Long (200–400 km),372.5,6.57,56.71,13.7,15.03,1.33,24.78,31.35,0.0842,57.242,0.1537,0.7886,Good
